fm_fund_id,fm_id,fund_id,fund_name,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
3453,6381,6420,Ascent Venture Partners II,1995,North America,TMT,Venture Capital / Growth Equity,80000000.0,USD,0.0,USD
10138,6381,8305,Ascent Venture Partners IV,2004,North America,TMT,Venture Capital / Growth Equity,140000000.0,USD,0.0,USD
14748,6381,9222,Ascent Venture Partners V,2008,North America,TMT,Venture Capital / Growth Equity,81750000.0,USD,81750000.0,USD
27377,6381,12856,Ascent Venture Partners III,1999,North America,TMT,Venture Capital / Growth Equity,115000000.0,USD,0.0,USD
11861,6381,34846,Ascent Venture Partners VI,2015,North America,TMT,Venture Capital / Growth Equity,71050000.0,USD,150000000.0,USD
10806,6381,34866,Ascent Venture Partners VII,2020,North America,TMT,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
6555,15168,30467,Fall Line Farms Fund I,2013,North America,Agribusiness,Venture Capital / Growth Equity,127000000.0,USD,200000000.0,USD
27713,15168,30467,Fall Line Farms Fund I,2013,North America,TMT,Venture Capital / Growth Equity,127000000.0,USD,200000000.0,USD
19032,15168,36284,Fall Line Endurance Fund (Open-Ended),2019,North America,Agribusiness,Venture Capital / Growth Equity,285000000.0,USD,0.0,USD
11632,15168,36284,Fall Line Endurance Fund (Open-Ended),2019,North America,TMT,Venture Capital / Growth Equity,285000000.0,USD,0.0,USD
1748,15168,55753,Fall Line Impossible SPV,2019,North America,Agribusiness,Venture Capital / Growth Equity,13000000.0,USD,13000000.0,USD
7975,15168,55753,Fall Line Impossible SPV,2019,North America,TMT,Venture Capital / Growth Equity,13000000.0,USD,13000000.0,USD
17215,15168,58903,Fall Line Altitude Fund,2021,North America,Agribusiness,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
26569,15168,58903,Fall Line Altitude Fund,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
6788,1671,39481,Star Mountain U.S. LMM Fund II & Related Vehicles,2014,North America,Diversified,Mezzanine / Debt,411000000.0,USD,0.0,USD
4121,1671,39769,Star Mountain U.S. LMM Secondary Fund II,2020,North America,Diversified,Secondaries,200000000.0,USD,500000000.0,USD
25602,1671,46993,Star Mountain U.S. LMM Strategic Credit Fund III & Related Vehicles,2018,North America,Diversified,Mezzanine / Debt,834000000.0,USD,0.0,USD
11257,1671,51366,Star Mountain Partners Fund II,2016,North America,Diversified,Mezzanine / Debt,16000000.0,USD,0.0,USD
27003,1671,53043,Star Mountain SBIC Fund,2020,North America,Diversified,Mezzanine / Debt,291000000.0,USD,0.0,USD
27842,1671,53044,Star Mountain Partners Fund III,2020,North America,Diversified,Mezzanine / Debt,35000000.0,USD,0.0,USD
7577,1671,60003,Star Mountain U.S. LMM Strategic Credit Fund IV,2021,North America,Diversified,Mezzanine / Debt,300000000.0,USD,750000000.0,USD
22866,1671,60244,Star Mountain Partners Fund I,2014,North America,Diversified,Mezzanine / Debt,14000000.0,USD,0.0,USD
22240,1671,60245,Star Mountain U.S. LMM Private BDC,2021,North America,Diversified,Mezzanine / Debt,250000000.0,USD,0.0,USD
2642,19136,43372,Waterfall Sentinel Fund I,2019,North America,Diversified,Buyout / Corporate Private Equity,80000000.0,USD,300000000.0,USD
30373,19136,55669,SHARB Investors,2020,North America,Diversified,Buyout / Corporate Private Equity,15000000.0,USD,0.0,USD
14196,19143,43446,Volunteer Park Capital,2019,Central/Eastern Europe,Diversified,Mezzanine / Debt,30000000.0,USD,200000000.0,USD
8192,19143,43446,Volunteer Park Capital,2019,North America,Diversified,Mezzanine / Debt,30000000.0,USD,200000000.0,USD
5802,19143,43446,Volunteer Park Capital,2019,Western Europe,Diversified,Mezzanine / Debt,30000000.0,USD,200000000.0,USD
22593,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Central/Eastern Europe,Financial Services,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
26799,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Central/Eastern Europe,Healthcare,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
8597,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Central/Eastern Europe,Leisure,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
3435,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Central/Eastern Europe,TMT,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
25351,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Western Europe,Financial Services,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
23626,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Western Europe,Healthcare,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
13212,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Western Europe,Leisure,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
1531,11984,4061,Pemberton European Mid-Market Debt Fund I,2015,Western Europe,TMT,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
29975,11984,37435,Pemberton UK Mid-Market Direct Lending Fund,2016,Western Europe,Diversified,Mezzanine / Debt,360000000.0,GBP,500000000.0,GBP
18232,11984,42579,Pemberton European Mid-Market Debt Fund II,2017,Central/Eastern Europe,Diversified,Mezzanine / Debt,3056000000.0,EUR,2500000000.0,EUR
6746,11984,42579,Pemberton European Mid-Market Debt Fund II,2017,Western Europe,Diversified,Mezzanine / Debt,3056000000.0,EUR,2500000000.0,EUR
5012,11984,42580,Pemberton Strategic Credit Opportunities Fund I,2017,Central/Eastern Europe,Diversified,Mezzanine / Debt,942000000.0,EUR,1000000000.0,EUR
17463,11984,42580,Pemberton Strategic Credit Opportunities Fund I,2017,Western Europe,Diversified,Mezzanine / Debt,942000000.0,EUR,1000000000.0,EUR
6985,11984,44330,Pemberton Receivables Strategy,2020,Asia-Pacific,Diversified,Mezzanine / Debt,111000000.0,EUR,0.0,EUR
1394,11984,44330,Pemberton Receivables Strategy,2020,Central/Eastern Europe,Diversified,Mezzanine / Debt,111000000.0,EUR,0.0,EUR
14476,11984,44330,Pemberton Receivables Strategy,2020,Latin America,Diversified,Mezzanine / Debt,111000000.0,EUR,0.0,EUR
13954,11984,44330,Pemberton Receivables Strategy,2020,Middle East/Africa,Diversified,Mezzanine / Debt,111000000.0,EUR,0.0,EUR
10633,11984,44330,Pemberton Receivables Strategy,2020,North America,Diversified,Mezzanine / Debt,111000000.0,EUR,0.0,EUR
14763,11984,44330,Pemberton Receivables Strategy,2020,Western Europe,Diversified,Mezzanine / Debt,111000000.0,EUR,0.0,EUR
23524,11984,50896,Pemberton Strategic Credit Opportunities Fund II,2020,Central/Eastern Europe,Diversified,Mezzanine / Debt,1750000000.0,EUR,2000000000.0,EUR
19275,11984,50896,Pemberton Strategic Credit Opportunities Fund II,2020,Western Europe,Diversified,Mezzanine / Debt,1750000000.0,EUR,2000000000.0,EUR
17571,11984,51703,Pemberton Mid-Market III,2020,Central/Eastern Europe,Diversified,Mezzanine / Debt,782000000.0,USD,3000000000.0,USD
10783,11984,51703,Pemberton Mid-Market III,2020,Western Europe,Diversified,Mezzanine / Debt,782000000.0,USD,3000000000.0,USD
10219,11984,52734,European Senior Loan Strategy,2020,Central/Eastern Europe,Diversified,Mezzanine / Debt,900000000.0,EUR,2500000000.0,EUR
16930,11984,52734,European Senior Loan Strategy,2020,Western Europe,Diversified,Mezzanine / Debt,900000000.0,EUR,2500000000.0,EUR
14955,14522,29147,PivotNorth Fund I,2011,North America,TMT,Venture Capital / Growth Equity,35000000.0,USD,35000000.0,USD
23165,14522,29208,PivotNorth Fund II,2013,North America,TMT,Venture Capital / Growth Equity,35000000.0,USD,35000000.0,USD
12743,14522,37994,PivotNorth Fund III,2016,North America,Consumer Goods,Venture Capital / Growth Equity,35000000.0,USD,0.0,USD
22753,14522,37994,PivotNorth Fund III,2016,North America,TMT,Venture Capital / Growth Equity,35000000.0,USD,0.0,USD
14395,14522,44621,PivotNorth Early Fund I,2019,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
27564,14522,49275,PivotNorth Fund IV,2019,North America,Consumer Goods,Venture Capital / Growth Equity,0.0,USD,0.0,USD
16009,14522,49275,PivotNorth Fund IV,2019,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
