fm_name,fm_id
Ascent Venture Partners,6381
Fall Line Capital,15168
Fall Line Capital,15168
Star Mountain Capital,1671
Waterfall Asset Management,19136
Goodhart Partners,19143
Goodhart Partners,19143
Goodhart Partners,19143
Pemberton Asset Management,11984
Pemberton Asset Management,11984
Pemberton Asset Management,11984
Pemberton Asset Management,11984
Pemberton Asset Management,11984
Pemberton Asset Management,11984
PivotNorth Capital,14522
Coatue Management,16237
FlashStarts,14468
Harmony Partners,10317
Light Street Capital,19412
Luther King Capital Management,13173
Quilvest,5348
Quilvest,5348
Golden Seeds,12377
Golden Seeds,12377
Golden Seeds,12377
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Orient Securities,13554
Goode Partners,8330
Harbour Group,6862
TPG,6701
Third Prime,19473
PPB Capital Partners,18204
Sonoma Brands,18686
Quake Capital,19482
Precision Capital,11995
Precision Capital,11995
Stone-Goff Partners,16981
Stone-Goff Partners,16981
Stone-Goff Partners,16981
LS Power Group,7673
LS Power Group,7673
U.S. Strategic Capital,19506
Tiger Infrastructure Partners,11912
Tiger Infrastructure Partners,11912
Riverstone Holdings,8459
KKR,5586
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Pangea Blockchain Fund,19543
Seminal Capital Holdings,19546
Providence Equity Partners,6650
King River Capital,19557
King River Capital,19557
King River Capital,19557
King River Capital,19557
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
OurCrowd,17948
American Capital Partners,19583
FusionX Ventures,17712
Ironside Capital,19584
Silver Lake,6681
Union Lake Auto Partners,18658
ASR Alternative Investments,17820
Race Capital,19601
Caisse de dépôt et placement du Québec,93
Triangle Peak Partners,12924
Triangle Peak Partners,12924
Hivers and Strivers,18385
NextGen Venture Partners,17811
One Rock Capital Partners,12825
GreenOaks Capital Partners,17328
First Reserve,6490
First Reserve,6490
First Reserve,6490
First Reserve,6490
First Reserve,6490
First Reserve,6490
Overton Venture Capital,19624
Artis Ventures,14888
Artis Ventures,14888
Artis Ventures,14888
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
Shepherd Kaplan Krochuk,19628
HPS Investment Partners,7143
Garnett Station Partners,19632
Betaworks,17720
Hazoor Partners,19635
Hazoor Partners,19635
Halley Venture Partners,18474
Halley Venture Partners,18474
Rio Investment Partners,19646
Okta Ventures,19648
Delta-v Capital,18404
New 2nd Capital,19615
Two Sigma,19359
Monarch Alternative Capital,19657
Monarch Alternative Capital,19657
Monarch Alternative Capital,19657
Monarch Alternative Capital,19657
Kairos Ventures,18382
Kairos Ventures,18382
Kairos Ventures,18382
Goldcrest Capital,19666
Aethon Energy Management,17065
Shasta Ventures,7651
Old Line Capital Partners,19677
Old Line Capital Partners,19677
Susa Ventures,15789
Wilshire Associates,6744
North Base Media,19684
TT Capital Partners,13421
TT Capital Partners,13421
Hall Capital Partners,1740
Cross Creek,8314
Cross Creek,8314
