email,fm_office_id,postal_code,fm_id,country,phone,city,street_address,web_address,head_office,state,region
True,170,1 617 720 9400,6381,North America,Massachusetts,Bedford,"255 State Street, 5th Floor",01730,www.ascentvp.com,United States,
True,542,1 650 235 4032,15168,North America,California,San Mateo,119 South B Street,94401,www.fall-line-capital.com,United States,info@fall-line-cap.com
True,594,1 212 810 9044,1671,North America,New York,New York,"2 Grand Central Tower 140 E. 45th Street, 37th Floor",10017,www.starmountaincapital.com,United States,info@starmountaincapital.com
False,1218,,1671,North America,Georgia,Atlanta,"1230 Peachtree Street,  Suite 1900",30309,,United States,
False,1815,,1671,North America,Ohio,Cleveland,"Crown Center,5005 Rockside Road,  Suite 600",44131,,United States,
False,4010,,1671,North America,Texas,Dallas,"8350 North Central Expressway,  Suite 1900",75206,,United States,
False,2822,,1671,North America,Connecticut,Greenwich,"500 West Putnam Avenue, Suite 400",06830,,United States,
False,4032,,1671,North America,Florida,Tampa,"100 South Ashley Drive, Suite 600",33602,,United States,
False,3012,,1671,North America,Illinois,Chicago,125 South Clark Street,60603,,United States,
False,3803,,1671,North America,Florida,Jacksonville,"5011 GATE PARKWAY, BUILDING 100, SUITE 100",32256,,United States,
True,1236,1 212 257 4600,19136,North America,New York,New York,"1251 Avenue of the Americas,  50th Floor",10020,www.waterfallam.com,United States,WAMinfo@waterfallam.com
True,1944,44 20 7379 3000,19143,Western Europe,,London,"Queensland House, 393 Strand",WC2R 0LT,www.goodhartpartners.com,United Kingdom,
True,2748,44 20 7993 9300,11984,Western Europe,,London,52 Grosvenor Gardens,SW1W 0AU,pembertonam.com,United Kingdom,info@pembertonam.com
False,4019,49 0 69 9760 998 10,11984,Western Europe,,Frankfurt,Goethestrasse 5,60313,,Germany,
False,284,33 0 1 44 71 35 17,11984,Western Europe,,Paris,91 rue du Faubourg Saint-Honoré,75008,,France,
False,1388,352 26 49 58 41 88,11984,Western Europe,,Luxembourg,"1, rue Hildegard von Bingen",L-1282,,Luxembourg,
False,2600,,11984,Western Europe,,Madrid,"Paseo de la Castellana 40, 8th floor",28046,,Spain,
False,2598,971 4 40 19104,11984,Middle East/Africa,,Dubai,"Pemberton Capital Advisors LLP (DIFC Branch) Office 09, Level 13 The Gate DIFC, PO Box",506919,,United Arab Emirates,
True,926,1 650 206 8068,14522,North America,California,Atherton,137 Hawthorne Drive,94027,,United States,
True,1888,1 212 715 5100,16237,North America,New York,New York,"9 West 57th Street, 25th Floor",10019,www.coatue.com,United States,media@coatue.com
False,195,,16237,North America,California,Menlo Park,2885 Sand Hill Road 2nd Floor,94025,,United States,
False,1657,,16237,North America,California,San Francisco,21 South Park Street 2nd Floor,94107,,United States,
True,19,1 216 220 0200,14468,North America,Ohio,Cleveland,50 Public Square  Suite #200,44113,www.flashstarts.com,United States,info@flashstarts.com
True,3600,1 332 370 2300,10317,North America,New York,New York,"7 W 18th Street,  6th Floor",10065,www.harmonyvp.com,United States,
True,2319,1 650 234 1640,19412,North America,California,Palo Alto,"525 University Ave, Suite 300",94301,www.lightstreet.com,United States,
False,2382,,19412,North America,California,San Francisco,"101 California Street, Suite 4650",94111,,United States,
True,4083,1 817 332 3235,13173,North America,Texas,Fort Worth,301 Commerce Street Suite 1600,76102,www.lkcm.com,United States,
False,2374,1 214 459 4004,13173,North America,Texas,Dallas,2021 McKinney Ave. Suite 400,75201,,United States,
False,556,1 512 474 6657,13173,North America,Texas,Austin,Four Barton Skyway 1301 South Mopac Expressway Suite 350,78746,,United States,
False,2980,1 210 733 5526,13173,North America,Texas,San Antonio,5121 Broadway,78209,,United States,
False,1461,44 20 7290 1710,5348,Western Europe,,London,46 Albemarle Street,W1S 4JN,,United Kingdom,
False,2338,41 44 224 4444,5348,Western Europe,,Zurich,Stockerstrasse 23,8027,,Switzerland,
True,1006,352 47 38 85,5348,Western Europe,,Luxembourg,"17a, Rue des Bains",1212,,Luxembourg,
False,1145,1 212 920 3800,5348,North America,New York,New York,527 Madison Avenue 11th floor,10022,,United States,
False,3196,33 1 4062 0762,5348,Western Europe,,Paris,"243, Boulevard Saint-Germain",75007,,France,
False,1856,,5348,Western Europe,,Geneva,12 Place de la Fusterie,1204,,Switzerland,
False,1829,971 4323 1664,5348,Middle East/Africa,,Dubai,Gate Village 4 Office 105 â€“ DIFC,,,United Arab Emirates,
False,1361,598 2 916 1285,5348,Latin America,,Montevideo,25 de Mayo 444 of. 301,11000,,Uruguay,
False,575,852 3755 1500,5348,Asia-Pacific,,Hong Kong,"Suite 1005, 10/F, ICBC Tower 3 Garden Road, Central",,,Hong Kong,
False,1656,,5348,Western Europe,,Belgium,"9E, Poortakkerstraat Ghent",9501,,United Kingdom,
True,2396,1 888 629 6774,12377,North America,New York,New York,"830 Third Avenue, 2nd floor",10022,www.goldenseeds.com,United States,info@goldenseeds.com
False,1845,,12377,North America,Massachusetts,Boston,-,,,United States,
False,1865,,12377,North America,Texas,Dallas,-,,,United States,
False,3668,,12377,North America,Georgia,Atlanta,-,,,United States,
False,3281,,12377,North America,California,Silicon Valley,-,,,United States,
False,3501,,12377,North America,Arizona,-,-,,,United States,
False,2534,,12377,North America,New Jersey,-,-,,,United States,
False,3242,,12377,North America,Texas,Houston,-,,,United States,
True,1314,86 21 6332 6373,13554,Asia-Pacific,,Shanghai,"22/F, Building No 2, 318 South Zhongshan Road",200010,www.dfzq.com.cn,China,ir@orientsec.com.cn
True,341,1 646 722 9450,8330,North America,New York,New York,767 Third Avenue 22nd Floor,10017,www.goodepartners.com,United States,info@goodepartners.com
True,3557,1 314 727 5550,6862,North America,Missouri,Saint Louis,"7733 Forsyth Blvd.,  23rd Floor",63105,www.harbourgroup.com,United States,
False,440,852 3515 8888,6701,Asia-Pacific,,Hong Kong,"Units 1201-1204 Level 12, Cyberport 1 100 Cyberport Road",,,Hong Kong,
False,378,44 20 7544 6500,6701,Western Europe,,London,"5th Floor, Park House 116 Park Street",W1K 6AF,,United Kingdom,investorservices@tpg.com
False,188,352 2700 41251,6701,Western Europe,,Luxembourg,The Goldbell Centre 5 rue Eugene Ruppert,L-2453,,Luxembourg,
False,242,61 3 9664 4444,6701,Asia-Pacific,,Melbourne,Level 31 101 Collins Street,3000,,Australia,
False,3405,7 495 660 8600,6701,Central/Eastern Europe,,Moscow,"Regus Smolensky Passage, Smolenskaya Square 3 Offices 728, 730, 731",121099,,Russia,
False,3184,1 212 601 4700,6701,North America,New York,New York,888 7th Avenue (between 56th & 57th Sts.)  35th Floor,10106,,United States,investorservices@tpg.com
False,2564,1 415 743 1500,6701,North America,California,San Francisco,345 California Street Suire 3300,94104,,United States,investorservices@tpg.com
False,2459,65 6390 5000,6701,Asia-Pacific,,Singapore,80 Raffles Place #15-01 UOB Plaza 1,048624,,Singapore,
True,940,1 817 871 4000,6701,North America,Texas,Fort Worth,301 Commerce Street Suite 3300,76102,www.tpg.com,United States,investorservices@tpg.com
False,2041,9122 6136 1900,6701,Asia-Pacific,,Mumbai,"1004, The Capital Plot No. C-70, G-Block Bandra Kurla Complex, Bandra (E)",400 051,,India,
False,2450,1 713 457 5510,6701,North America,Texas,Houston,1301 McKinney 9th Floor,77002,,United States,
False,3511,86 10 5965 3888,6701,Asia-Pacific,,Beijing,"Suite 3801, China World Tower 3 No.1, Jianguomenwai Avenue Chaoyang District",100004,,China,
False,1928,,6701,North America,Texas,Austin,816 Congress Avenue Suite 1130,78701,,United States,
False,2936,1 469 6213001,6701,North America,Texas,Dallas,2100 McKinney Avenue Suite 1030,75201,,United States,
False,3481,1 617 793 2000,6701,North America,Massachusetts,Boston,Two International Place Suite 2230,02110,,United States,
False,823,82 2 6944 7888,6701,Asia-Pacific,,Seoul,"20th Floor, Parnas Tower 521 Teheran-ro, Gangnam-gu",06164,,South Korea,
True,3282,1 917 575 7332,19473,North America,New York,New York,"18 East 50th Street,  6th Floor",10022,www.thirdprime.vc,United States,inquiry@thirdprime.vc
False,2515,,19473,North America,Tennessee,Nashville,-,,,United States,
True,3061,1 484 278 4017,18204,North America,Pennsylvania,Conshohocken,"125 East Elm Street, Suite 200",19428,www.ppbcapitalpartners.com,United States,support@ppbadvisors.com
True,3931,1 707 656 2015,18686,North America,California,Sonoma,117 W. Napa St.  Suite C,95476,www.sonomabrands.com,United States,hello@sonomabrands.com
True,2156,1 917 765 4323,19482,North America,New York,New York,"85 Broad Street, 28 Th Floor",10004,www.quakecapital.com,United States,info@quake.vc
False,1271,,19482,North America,Texas,Austin,100 Congress Ave. Ste. 2000,78701,,United States,
False,3707,,19482,North America,California,Los Angeles,-,,,United States,
False,152,,19482,North America,Washington,Seattle,-,,,United States,
True,3531,1 212 476 9300,11995,North America,New York,New York,"399 Park Avenue, 37th Floor",10022,www.precisioncapital.com,United States,investorrelations@precisioncapital.com
True,1229,1 212 308 2058,16981,North America,New York,New York,900 Third Avenue 33rd Floor,10022,www.stonegoff.com,United States,
False,3410,,16981,North America,Massachusetts,Boston,177 Huntington Avenue Suite 1708,02115,,United States,
True,2570,1 212 615 3456,7673,North America,New York,New York,35th Floor  1700 Broadway,10019,www.lspower.com,United States,info@lspower.com
False,2116,1 732 2496750,7673,North America,New Jersey,East Brunswick,"One Tower Center Blvd., 21st Floor",08816,,United States,
False,3209,1 925 201 5220,7673,North America,Virginia,Chesterfield,"16150 Main Circle Drive, Suite 310",94588,,United States,
False,3089,,19506,North America,Georgia,Alpharetta,2604 Abbey Court,30004,,United States,
True,586,1 866 821 0297,19506,North America,Georgia,Atlanta,"2675 Paces Ferry Rd. SE,  Suite 220",30339,www.usstrategiccapital.com,United States,contact@usstrategiccapital.com
True,2953,1 212 201 2180,11912,North America,New York,New York,717 Fifth Avenue Floor 12A,10022,www.tigerinfrastructure.com,United States,info@tigerinfrastructure.com
False,2948,44 20 3687 0526,11912,Western Europe,,London,"Lansdowne House, Fl 3 57 Berkeley Square",W1J 6ER,,United Kingdom,
False,599,44 020 3206 6300,8459,Western Europe,,London,3 St Jamesâ€™s Square,SW1Y 4JU,,United Kingdom,
False,1507,1 713 357 1400,8459,North America,Texas,Houston,1000 Louisiana Suite 1450,77002,,United States,
True,3758,1 212 993 0076,8459,North America,New York,New York,712 Fifth Avenue 36th Floor,10019,www.riverstonellc.com,United States,info@riverstonellc.com
False,3287,52 55 9177 2030,8459,Latin America,,Santa Fe,"Javier Barros Sierra 540 Torre 2, Piso 2 Colonia Lomas de Santa Fe,",01210,,Mexico,
False,3371,91 22 4355 1300,5586,Asia-Pacific,,Mumbai,"2nd Floor, Piramal Tower Peninsula Corporate Park Ganpatrao Kadam Marg, Lower Parel (West)",400013,,India,
False,2280,852 3602 7300,5586,Asia-Pacific,,Hong Kong,"Level 56, Cheung Kong Center 2 Queen's Road Central",,,Hong Kong,
False,174,1 650 233 6560,5586,North America,California,Menlo Park,2800 Sand Hill Road Suite 200,94025,,United States,
False,1138,1 713 343 5142,5586,North America,Texas,Houston,600 Travis Street Suite 7200,77002,,United States,
False,1926,33 1 53 53 96 00,5586,Western Europe,,Paris,"SAS, 42 Avenue Montaigne",75008,,France,
False,1685,81 3 6268 6666,5586,Asia-Pacific,,Tokyo,"11F, Meiji Yasuda Seimei Building 2-1-1 Marunouchi Chiyoda-ku",100-0005,,Japan,
