fm_sector_id,fm_id,sector,has_appetite
961,1671,Agribusiness,False
656,1671,Biotech / Life Science,False
340,1671,Business Services,False
2668,1671,Clean Tech / Renewable,False
2623,1671,Consumer Goods,False
3098,1671,Diversified,True
2517,1671,Energy / Oil & Gas,False
2002,1671,Financial Services,False
2577,1671,Healthcare,False
1476,1671,Industrials,False
1795,1671,Leisure,False
1703,1671,Manufacturing,False
1587,1671,Natural Resources,False
1404,1671,Other,False
442,1671,Retail,False
465,1671,TMT,False
1902,1671,Transport,False
2197,5348,Biotech / Life Science,True
42,5348,Clean Tech / Renewable,True
753,5348,Consumer Goods,True
2732,5348,Diversified,True
2923,5348,Energy / Oil & Gas,False
1183,5348,Financial Services,True
1871,5348,Healthcare,True
1919,5348,Industrials,True
325,5348,Leisure,True
2614,5348,Manufacturing,False
1457,5348,Natural Resources,False
2949,5348,Other,False
765,5348,Retail,True
169,5348,TMT,True
673,5348,Transport,False
2463,13554,Biotech / Life Science,False
1919,13554,Clean Tech / Renewable,True
1634,13554,Consumer Goods,False
744,13554,Diversified,False
2400,13554,Energy / Oil & Gas,True
567,13554,Financial Services,False
2761,13554,Healthcare,False
2270,13554,Industrials,False
1762,13554,Leisure,False
1403,13554,Manufacturing,False
2848,13554,Natural Resources,False
2009,13554,Other,False
2424,13554,Retail,False
2238,13554,TMT,False
572,13554,Transport,False
2860,6701,Biotech / Life Science,False
534,6701,Business Services,False
966,6701,Clean Tech / Renewable,False
1666,6701,Consumer Goods,False
567,6701,Diversified,False
714,6701,Energy / Oil & Gas,False
1018,6701,Financial Services,False
3102,6701,Healthcare,False
2541,6701,Industrials,False
99,6701,Leisure,False
1482,6701,Manufacturing,False
1934,6701,Natural Resources,False
2532,6701,Other,False
1062,6701,Retail,False
2785,6701,TMT,True
507,6701,Transport,False
1492,18204,Agribusiness,False
1198,18204,Biotech / Life Science,False
140,18204,Business Services,False
1085,18204,Clean Tech / Renewable,False
1766,18204,Consumer Goods,False
2677,18204,Diversified,True
3066,18204,Energy / Oil & Gas,False
2579,18204,Financial Services,False
2287,18204,Healthcare,False
2140,18204,Industrials,False
153,18204,Leisure,False
2853,18204,Manufacturing,False
2659,18204,Natural Resources,False
2899,18204,Other,False
2547,18204,Retail,False
2945,18204,TMT,False
1932,18204,Transport,False
2667,11995,Biotech / Life Science,False
2724,11995,Clean Tech / Renewable,False
1177,11995,Consumer Goods,False
2225,11995,Diversified,True
2656,11995,Energy / Oil & Gas,False
1618,11995,Financial Services,False
3118,11995,Healthcare,False
1515,11995,Industrials,False
69,11995,Leisure,False
2009,11995,Manufacturing,False
2499,11995,Natural Resources,False
2417,11995,Other,False
2479,11995,Retail,False
2740,11995,TMT,False
2235,11995,Transport,False
1248,16981,Agribusiness,False
2591,16981,Biotech / Life Science,False
1015,16981,Business Services,True
3068,16981,Clean Tech / Renewable,False
2070,16981,Consumer Goods,True
742,16981,Diversified,True
1334,16981,Energy / Oil & Gas,False
1439,16981,Financial Services,False
1360,16981,Healthcare,False
2971,16981,Industrials,False
2691,16981,Leisure,False
2869,16981,Manufacturing,False
3041,16981,Natural Resources,False
2596,16981,Other,False
50,16981,Retail,False
306,16981,TMT,False
2441,16981,Transport,False
544,93,Biotech / Life Science,True
1758,93,Clean Tech / Renewable,True
2655,93,Consumer Goods,True
573,93,Diversified,True
2575,93,Energy / Oil & Gas,True
451,93,Financial Services,True
133,93,Healthcare,True
1126,93,Industrials,True
744,93,Leisure,True
2700,93,Manufacturing,True
1156,93,Natural Resources,True
317,93,Other,False
570,93,Retail,True
2910,93,TMT,True
2431,93,Transport,True
2260,6744,Biotech / Life Science,True
2253,6744,Clean Tech / Renewable,False
2959,6744,Consumer Goods,True
732,6744,Diversified,False
2471,6744,Energy / Oil & Gas,False
2517,6744,Financial Services,True
2245,6744,Healthcare,True
1648,6744,Industrials,True
3093,6744,Leisure,False
1962,6744,Manufacturing,True
2087,6744,Natural Resources,False
2084,6744,Other,False
2766,6744,Retail,True
838,6744,TMT,True
1519,6744,Transport,True
2778,8314,Biotech / Life Science,True
2409,8314,Clean Tech / Renewable,False
1990,8314,Consumer Goods,True
2059,8314,Diversified,False
777,8314,Energy / Oil & Gas,False
2229,8314,Financial Services,False
1041,8314,Healthcare,False
1722,8314,Industrials,False
1660,8314,Leisure,False
3106,8314,Manufacturing,False
1452,8314,Natural Resources,False
792,8314,Other,True
3007,8314,Retail,False
2973,8314,TMT,True
1008,8314,Transport,False
2427,1780,Biotech / Life Science,False
