fm_strategy_id,fm_id,regions,strategy
386,1671,North America,Fund of Funds / Co-Investment
224,1671,North America,Mezzanine / Debt
2164,1671,North America,Secondaries
1304,1671,North America,Venture Capital / Growth Equity
1150,5348,North America,Buyout / Corporate Private Equity
285,5348,Asia-Pacific,Buyout / Corporate Private Equity
764,5348,Central/Eastern Europe,Buyout / Corporate Private Equity
738,5348,Latin America,Buyout / Corporate Private Equity
1441,5348,Middle East/Africa,Buyout / Corporate Private Equity
662,5348,Western Europe,Buyout / Corporate Private Equity
1636,5348,North America,Distressed / Turnaround
1389,5348,Asia-Pacific,Distressed / Turnaround
640,5348,Central/Eastern Europe,Distressed / Turnaround
1786,5348,Latin America,Distressed / Turnaround
991,5348,Middle East/Africa,Distressed / Turnaround
1261,5348,Western Europe,Distressed / Turnaround
743,5348,North America,Fund of Funds / Co-Investment
1554,5348,Asia-Pacific,Fund of Funds / Co-Investment
1595,5348,Central/Eastern Europe,Fund of Funds / Co-Investment
1642,5348,Latin America,Fund of Funds / Co-Investment
824,5348,Middle East/Africa,Fund of Funds / Co-Investment
1748,5348,Western Europe,Fund of Funds / Co-Investment
1662,5348,North America,Secondaries
1888,5348,Asia-Pacific,Secondaries
593,5348,Central/Eastern Europe,Secondaries
1121,5348,Latin America,Secondaries
2039,5348,Middle East/Africa,Secondaries
406,5348,Western Europe,Secondaries
634,5348,North America,Venture Capital / Growth Equity
1177,5348,Asia-Pacific,Venture Capital / Growth Equity
1231,5348,Central/Eastern Europe,Venture Capital / Growth Equity
1441,5348,Latin America,Venture Capital / Growth Equity
560,5348,Middle East/Africa,Venture Capital / Growth Equity
118,5348,Western Europe,Venture Capital / Growth Equity
359,13554,Asia-Pacific,Venture Capital / Growth Equity
2189,6701,North America,Venture Capital / Growth Equity
902,18204,,
1415,11995,North America,Fund of Funds / Co-Investment
1114,11995,Asia-Pacific,Fund of Funds / Co-Investment
1002,11995,Central/Eastern Europe,Fund of Funds / Co-Investment
935,11995,Latin America,Fund of Funds / Co-Investment
1179,11995,Middle East/Africa,Fund of Funds / Co-Investment
952,11995,Western Europe,Fund of Funds / Co-Investment
1090,11995,North America,Venture Capital / Growth Equity
1890,11995,Asia-Pacific,Venture Capital / Growth Equity
1213,11995,Central/Eastern Europe,Venture Capital / Growth Equity
770,11995,Latin America,Venture Capital / Growth Equity
879,11995,Middle East/Africa,Venture Capital / Growth Equity
897,11995,Western Europe,Venture Capital / Growth Equity
771,16981,North America,Buyout / Corporate Private Equity
822,16981,North America,Fund of Funds / Co-Investment
48,93,North America,Buyout / Corporate Private Equity
209,93,Asia-Pacific,Buyout / Corporate Private Equity
1926,93,Central/Eastern Europe,Buyout / Corporate Private Equity
