,fund_id,fund_name,fm_id,strategy,sector,region,country,target_fund_size_amt,target_fund_size_currency,fund_size_amt,fund_currency,status,stage,vintage_year,open_date
0,34866,Ascent Venture Partners VII,6381,Venture Capital / Growth Equity,TMT,North America,United States,150000000.0,USD,,,Launched,,2020,2020-0
1,36284,Fall Line Endurance Fund (Open-Ended),15168,Venture Capital / Growth Equity,TMT,North America,United States,,,285000000.0,USD,Currently Investing,,2019,2016-7
2,36284,Fall Line Endurance Fund (Open-Ended),15168,Venture Capital / Growth Equity,Agribusiness,North America,United States,,,285000000.0,USD,Currently Investing,,2019,2016-7
3,39769,Star Mountain U.S. LMM Secondary Fund II,1671,Secondaries,Diversified,North America,United States,500000000.0,USD,200000000.0,USD,Currently Investing,1st Close,2020,2020-12
4,43372,Waterfall Sentinel Fund I,19136,Buyout / Corporate Private Equity,Diversified,North America,United States,300000000.0,USD,80000000.0,USD,Currently Investing,1st Close,2019,2019-1
5,43446,Volunteer Park Capital,19143,Mezzanine / Debt,Diversified,North America,,200000000.0,USD,30000000.0,USD,Currently Investing,1st Close,2019,2019-8
6,43446,Volunteer Park Capital,19143,Mezzanine / Debt,Diversified,Western Europe,,200000000.0,USD,30000000.0,USD,Currently Investing,1st Close,2019,2019-8
7,43446,Volunteer Park Capital,19143,Mezzanine / Debt,Diversified,Central/Eastern Europe,,200000000.0,USD,30000000.0,USD,Currently Investing,1st Close,2019,2019-8
8,44330,Pemberton Receivables Strategy,11984,Mezzanine / Debt,Diversified,Central/Eastern Europe,,,,111000000.0,EUR,Launched,,2020,2020-0
9,44330,Pemberton Receivables Strategy,11984,Mezzanine / Debt,Diversified,Middle East/Africa,,,,111000000.0,EUR,Launched,,2020,2020-0
10,44330,Pemberton Receivables Strategy,11984,Mezzanine / Debt,Diversified,North America,,,,111000000.0,EUR,Launched,,2020,2020-0
11,44330,Pemberton Receivables Strategy,11984,Mezzanine / Debt,Diversified,Asia-Pacific,,,,111000000.0,EUR,Launched,,2020,2020-0
12,44330,Pemberton Receivables Strategy,11984,Mezzanine / Debt,Diversified,Latin America,,,,111000000.0,EUR,Launched,,2020,2020-0
13,44330,Pemberton Receivables Strategy,11984,Mezzanine / Debt,Diversified,Western Europe,,,,111000000.0,EUR,Launched,,2020,2020-0
14,44621,PivotNorth Early Fund I,14522,Venture Capital / Growth Equity,TMT,North America,,,,,,Launched,,2019,2019-1
15,44622,Coatue Early Stage Fund Private Investors,16237,Venture Capital / Growth Equity,TMT,North America,United States,,,197000000.0,USD,Currently Investing,1st Close,2019,2018-12
16,44723,Flashstarts Blockchain Fund,14468,Venture Capital / Growth Equity,TMT,North America,United States,6000000.0,USD,,,Launched,,2019,2019-1
17,44727,Harmony Partners IV,10317,Venture Capital / Growth Equity,TMT,North America,United States,125000000.0,USD,,,Launched,,2019,2019-1
18,44738,Light Street Beacon Principals I,19412,Venture Capital / Growth Equity,TMT,North America,United States,20000000.0,USD,,,Launched,,2019,2019-1
19,44768,LKCM Headwater Investments III,13173,Buyout / Corporate Private Equity,Diversified,North America,United States,,,600000000.0,USD,Currently Investing,4th Close,2019,2019-1
20,44785,QS Club Fund II,5348,Buyout / Corporate Private Equity,Diversified,North America,,30000000.0,USD,,,Launched,,2019,2019-1
21,44785,QS Club Fund II,5348,Buyout / Corporate Private Equity,Diversified,Western Europe,,30000000.0,USD,,,Launched,,2019,2019-1
22,44854,Golden Seeds Venture Fund,12377,Venture Capital / Growth Equity,Consumer Goods,North America,United States,,,7000000.0,USD,Currently Investing,3rd Close,2019,2019-1
23,44854,Golden Seeds Venture Fund,12377,Venture Capital / Growth Equity,Business Services,North America,United States,,,7000000.0,USD,Currently Investing,3rd Close,2019,2019-1
24,44854,Golden Seeds Venture Fund,12377,Venture Capital / Growth Equity,TMT,North America,United States,,,7000000.0,USD,Currently Investing,3rd Close,2019,2019-1
25,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,Biotech / Life Science,Middle East/Africa,,300000000.0,USD,,,Launched,,2019,2019-1
26,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,Biotech / Life Science,Asia-Pacific,,300000000.0,USD,,,Launched,,2019,2019-1
27,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,Biotech / Life Science,Western Europe,,300000000.0,USD,,,Launched,,2019,2019-1
