ID,Name,FundManager,FundManagerID,Strategy,Region,Sector,VintageYear,YearOpened,MonthsOpened,TargetSize,Currency
34866,Ascent Venture Partners VII,Ascent Venture Partners,6381,Venture Capital / Growth Equity,North America,TMT,2020,2020,0,150000000.0,USD
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,15168,Venture Capital / Growth Equity,North America,TMT / Agribusiness,2019,2016,7,,
39769,Star Mountain U.S. LMM Secondary Fund II,Star Mountain Capital,1671,Secondaries,North America,Diversified,2020,2020,12,500000000.0,USD
42607,Lumerity Capital Partners II,Lumerity Capital,18403,Buyout / Corporate Private Equity,North America,TMT,2019,2019,8,50000000.0,USD
43372,Waterfall Sentinel Fund I,Waterfall Asset Management,19136,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,1,300000000.0,USD
43446,Volunteer Park Capital,Goodhart Partners,19143,Mezzanine / Debt,North America / Western Europe / Central/Eastern Europe,Diversified,2019,2019,8,200000000.0,USD
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Mezzanine / Debt,Central/Eastern Europe / Middle East/Africa / North America / Asia-Pacific / Latin America / Western Europe,Diversified,2020,2020,0,,
44621,PivotNorth Early Fund I,PivotNorth Capital,14522,Venture Capital / Growth Equity,North America,TMT,2019,2019,1,,
44622,Coatue Early Stage Fund Private Investors,Coatue Management,16237,Venture Capital / Growth Equity,North America,TMT,2019,2018,12,,
44678,Cloverlay Fund II,Cloverlay,16250,Secondaries,North America,TMT,2019,2019,4,400000000.0,USD
44723,Flashstarts Blockchain Fund,FlashStarts,14468,Venture Capital / Growth Equity,North America,TMT,2019,2019,1,6000000.0,USD
44727,Harmony Partners IV,Harmony Partners,10317,Venture Capital / Growth Equity,North America,TMT,2019,2019,1,125000000.0,USD
44738,Light Street Beacon Principals I,Light Street Capital,19412,Venture Capital / Growth Equity,North America,TMT,2019,2019,1,20000000.0,USD
44768,LKCM Headwater Investments III,Luther King Capital Management,13173,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,1,,
44785,QS Club Fund II,Quilvest,5348,Buyout / Corporate Private Equity,North America / Western Europe,Diversified,2019,2019,1,30000000.0,USD
44854,Golden Seeds Venture Fund,Golden Seeds,12377,Venture Capital / Growth Equity,North America,Consumer Goods / Business Services / TMT,2019,2019,1,,
44961,Hontai Capital Fund I,Orient Securities,13554,Venture Capital / Growth Equity,Middle East/Africa / Asia-Pacific / Western Europe / Central/Eastern Europe / North America,Biotech / Life Science / TMT,2019,2019,1,300000000.0,USD
44972,Goode Partners Consumer Fund IV,Goode Partners,8330,Buyout / Corporate Private Equity,North America,Consumer Goods,2019,2019,0,250000000.0,USD
44973,Harbour Group Investments VII,Harbour Group,6862,Buyout / Corporate Private Equity,North America,Other,2019,2019,0,700000000.0,USD
45001,TPG Tech Adjacencies FOF-L,TPG,6701,Fund of Funds / Co-Investment,North America,TMT,2019,2019,1,,
45039,LaunchNY Seed Fund I,Launch NY,19465,Venture Capital / Growth Equity,North America,Biotech / Life Science / Consumer Goods / Clean Tech / Renewable / Healthcare / TMT,2019,2019,1,10000000.0,USD
45092,Third Prime Alpha Fund II,Third Prime,19473,Venture Capital / Growth Equity,North America,Diversified,2019,2019,2,60000000.0,USD
45097,Align Impact Fund II,PPB Capital Partners,18204,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,1,,
45129,Sonoma Brands Fund III,Sonoma Brands,18686,Venture Capital / Growth Equity,North America,Consumer Goods,2019,2019,3,,
45147,Quake Seed Capital Fund III,Quake Capital,19482,Venture Capital / Growth Equity,North America,Diversified,2019,2019,1,100000000.0,USD
45187,Special Opportunities Fund VII,Precision Capital,11995,Fund of Funds / Co-Investment,Western Europe / North America,Diversified,2019,2019,1,,
45197,Stone-Goff Partners III,Stone-Goff Partners,16981,Buyout / Corporate Private Equity,North America,Consumer Goods / Business Services / Other,2019,2019,8,175000000.0,USD
