fund_id,name,manager,managerId,sectors,vintageYear,regions,countries,status,strategies,yearOpen,targetFundSize.amount,targetFundSize.currency,monthOpen,fundSize.amount,fundSize.currency,stage,yearClose,monthClose
34866,Ascent Venture Partners VII,Ascent Venture Partners,6381,TMT,2020.0,North America,United States,Launched,Venture Capital / Growth Equity,2020.0,150000000.0,USD,,,,,,
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,15168,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2016.0,,,7.0,285000000.0,USD,,,
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,15168,Agribusiness,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2016.0,,,7.0,285000000.0,USD,,,
39769,Star Mountain U.S. LMM Secondary Fund II,Star Mountain Capital,1671,Diversified,2020.0,North America,United States,Currently Investing,Secondaries,2020.0,500000000.0,USD,12.0,200000000.0,USD,1st Close,,
43372,Waterfall Sentinel Fund I,Waterfall Asset Management,19136,Diversified,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,300000000.0,USD,1.0,80000000.0,USD,1st Close,,
43446,Volunteer Park Capital,Goodhart Partners,19143,Diversified,2019.0,North America,,Currently Investing,Mezzanine / Debt,2019.0,200000000.0,USD,8.0,30000000.0,USD,1st Close,,
43446,Volunteer Park Capital,Goodhart Partners,19143,Diversified,2019.0,Western Europe,,Currently Investing,Mezzanine / Debt,2019.0,200000000.0,USD,8.0,30000000.0,USD,1st Close,,
43446,Volunteer Park Capital,Goodhart Partners,19143,Diversified,2019.0,Central/Eastern Europe,,Currently Investing,Mezzanine / Debt,2019.0,200000000.0,USD,8.0,30000000.0,USD,1st Close,,
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Diversified,2020.0,Central/Eastern Europe,,Launched,Mezzanine / Debt,2020.0,,,,111000000.0,EUR,,,
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Diversified,2020.0,Middle East/Africa,,Launched,Mezzanine / Debt,2020.0,,,,111000000.0,EUR,,,
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Diversified,2020.0,North America,,Launched,Mezzanine / Debt,2020.0,,,,111000000.0,EUR,,,
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Diversified,2020.0,Asia-Pacific,,Launched,Mezzanine / Debt,2020.0,,,,111000000.0,EUR,,,
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Diversified,2020.0,Latin America,,Launched,Mezzanine / Debt,2020.0,,,,111000000.0,EUR,,,
44330,Pemberton Receivables Strategy,Pemberton Asset Management,11984,Diversified,2020.0,Western Europe,,Launched,Mezzanine / Debt,2020.0,,,,111000000.0,EUR,,,
44621,PivotNorth Early Fund I,PivotNorth Capital,14522,TMT,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,,,1.0,,,,,
