fund_id,fund_name,manager_id,manager,close_year,strategy,fund_size_amt,fund_currency
23717,Warburg Pincus Associates,5591.0,Warburg Pincus,1980,Venture Capital / Growth Equity,101000000.0,USD
14874,Kleiner Perkins Caufield & Byers II,6562.0,Kleiner Perkins,1980,Venture Capital / Growth Equity,55000000.0,USD
10708,TA Associates / Advent IV,6694.0,TA Associates,1980,Venture Capital / Growth Equity,60000000.0,USD
15603,Excelsior Fund,6373.0,Apax Partners,1981,Venture Capital / Growth Equity,25530000.0,USD
15213,New Enterprise Associates II,6610.0,New Enterprise Associates,1981,Venture Capital / Growth Equity,45310000.0,USD
14875,Kleiner Perkins Caufield & Byers III,6562.0,Kleiner Perkins,1982,Venture Capital / Growth Equity,150000000.0,USD
24566,Matrix Partners I,6584.0,Matrix Partners,1982,Venture Capital / Growth Equity,44100000.0,USD
15345,TA Associates / Advent V,6694.0,TA Associates,1983,Venture Capital / Growth Equity,167000000.0,USD
15214,New Enterprise Associates III,6610.0,New Enterprise Associates,1984,Venture Capital / Growth Equity,126000000.0,USD
15041,Matrix Partners II,6584.0,Matrix Partners,1985,Venture Capital / Growth Equity,70400000.0,USD
3369,Partech International Ventures I,6633.0,Partech,1985,Venture Capital / Growth Equity,50000000.0,USD
12604,Excelsior II,6373.0,Apax Partners,1985,Venture Capital / Growth Equity,109130000.0,USD
15604,Excelsior Jersey,6373.0,Apax Partners,1985,Venture Capital / Growth Equity,29820000.0,USD
15215,New Enterprise Associates IV,6610.0,New Enterprise Associates,1986,Venture Capital / Growth Equity,152000000.0,USD
14876,Kleiner Perkins Caufield & Byers IV,6562.0,Kleiner Perkins,1986,Venture Capital / Growth Equity,150000000.0,USD
3370,Partech International Ventures II,6633.0,Partech,1987,Venture Capital / Growth Equity,120000000.0,USD
24757,Equitable Deal Flow Fund,7425.0,Ardian,1988,Venture Capital / Growth Equity,148100000.0,USD
15346,TA Associates / Advent VI,6694.0,TA Associates,1988,Venture Capital / Growth Equity,220000000.0,USD
29130,Accel III,6357.0,Accel,1989,Venture Capital / Growth Equity,,
12605,Excelsior III,6373.0,Apax Partners,1989,Venture Capital / Growth Equity,175000000.0,USD
7271,CMEA Ventures I,6840.0,CMEA Capital,1989,Venture Capital / Growth Equity,40710000.0,USD
14878,Kleiner Perkins Caufield & Byers V,6562.0,Kleiner Perkins,1989,Venture Capital / Growth Equity,150000000.0,USD
23836,Brentwood Associates V,6414.0,Brentwood Associates,1989,Venture Capital / Growth Equity,50000000.0,USD
15217,New Enterprise Associates V,6610.0,New Enterprise Associates,1990,Venture Capital / Growth Equity,199000000.0,USD
3750,Veritas Venture Partners Fund I,7008.0,Veritas Venture Partners,1990,Venture Capital / Growth Equity,5000000.0,USD
15042,Matrix Partners III,6584.0,Matrix Partners,1990,Venture Capital / Growth Equity,80000000.0,USD
14879,Kleiner Perkins Caufield & Byers VI,6562.0,Kleiner Perkins,1992,Venture Capital / Growth Equity,173000000.0,USD
15347,TA Associates / Advent VII,6694.0,TA Associates,1993,Venture Capital / Growth Equity,303000000.0,USD
12706,Brentwood Associates VI,6414.0,Brentwood Associates,1993,Venture Capital / Growth Equity,80000000.0,USD
8088,Accel IV,6357.0,Accel,1993,Venture Capital / Growth Equity,135000000.0,USD
