fm_fund_history_id ,fm_id,fund_id,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
13177,6381,6420,1995,North America,TMT,Venture Capital / Growth Equity,80000000.0,USD,0.0,USD
20214,6381,8305,2004,North America,TMT,Venture Capital / Growth Equity,140000000.0,USD,0.0,USD
14443,6381,9222,2008,North America,TMT,Venture Capital / Growth Equity,81750000.0,USD,81750000.0,USD
4241,6381,12856,1999,North America,TMT,Venture Capital / Growth Equity,115000000.0,USD,0.0,USD
22137,6381,34846,2015,North America,TMT,Venture Capital / Growth Equity,71050000.0,USD,150000000.0,USD
10649,6381,34866,2020,North America,TMT,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
24981,15168,30467,2013,North America,Agribusiness,Venture Capital / Growth Equity,127000000.0,USD,200000000.0,USD
27652,15168,30467,2013,North America,TMT,Venture Capital / Growth Equity,127000000.0,USD,200000000.0,USD
27400,15168,36284,2019,North America,Agribusiness,Venture Capital / Growth Equity,285000000.0,USD,0.0,USD
25010,15168,36284,2019,North America,TMT,Venture Capital / Growth Equity,285000000.0,USD,0.0,USD
15736,15168,55753,2019,North America,Agribusiness,Venture Capital / Growth Equity,13000000.0,USD,13000000.0,USD
28393,15168,55753,2019,North America,TMT,Venture Capital / Growth Equity,13000000.0,USD,13000000.0,USD
29081,15168,58903,2021,North America,Agribusiness,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
15058,15168,58903,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
10981,1671,39481,2014,North America,Diversified,Mezzanine / Debt,411000000.0,USD,0.0,USD
2343,1671,39769,2020,North America,Diversified,Secondaries,200000000.0,USD,500000000.0,USD
3309,1671,46993,2018,North America,Diversified,Mezzanine / Debt,834000000.0,USD,0.0,USD
14772,1671,51366,2016,North America,Diversified,Mezzanine / Debt,16000000.0,USD,0.0,USD
8103,1671,53043,2020,North America,Diversified,Mezzanine / Debt,291000000.0,USD,0.0,USD
18358,1671,53044,2020,North America,Diversified,Mezzanine / Debt,35000000.0,USD,0.0,USD
27835,1671,60003,2021,North America,Diversified,Mezzanine / Debt,300000000.0,USD,750000000.0,USD
12485,1671,60244,2014,North America,Diversified,Mezzanine / Debt,14000000.0,USD,0.0,USD
5930,1671,60245,2021,North America,Diversified,Mezzanine / Debt,250000000.0,USD,0.0,USD
4751,19136,43372,2019,North America,Diversified,Buyout / Corporate Private Equity,80000000.0,USD,300000000.0,USD
