fm_id,fm_name
6381,Ascent Venture Partners
15168,Fall Line Capital
1671,Star Mountain Capital
19136,Waterfall Asset Management
19143,Goodhart Partners
11984,Pemberton Asset Management
14522,PivotNorth Capital
16237,Coatue Management
14468,FlashStarts
10317,Harmony Partners
19412,Light Street Capital
13173,Luther King Capital Management
5348,Quilvest
12377,Golden Seeds
13554,Orient Securities
8330,Goode Partners
6862,Harbour Group
6701,TPG
19473,Third Prime
18204,PPB Capital Partners
18686,Sonoma Brands
19482,Quake Capital
11995,Precision Capital
16981,Stone-Goff Partners
7673,LS Power Group
19506,U.S. Strategic Capital
11912,Tiger Infrastructure Partners
8459,Riverstone Holdings
5586,KKR
19543,Pangea Blockchain Fund
19546,Seminal Capital Holdings
6650,Providence Equity Partners
19557,King River Capital
17948,OurCrowd
19583,American Capital Partners
17712,FusionX Ventures
19584,Ironside Capital
6681,Silver Lake
18658,Union Lake Auto Partners
17820,ASR Alternative Investments
19601,Race Capital
93,Caisse de dépôt et placement du Québec
12924,Triangle Peak Partners
18385,Hivers and Strivers
17811,NextGen Venture Partners
12825,One Rock Capital Partners
17328,GreenOaks Capital Partners
6490,First Reserve
19624,Overton Venture Capital
14888,Artis Ventures
19628,Shepherd Kaplan Krochuk
7143,HPS Investment Partners
19632,Garnett Station Partners
17720,Betaworks
19635,Hazoor Partners
18474,Halley Venture Partners
19646,Rio Investment Partners
19648,Okta Ventures
18404,Delta-v Capital
19615,New 2nd Capital
19359,Two Sigma
19657,Monarch Alternative Capital
18382,Kairos Ventures
19666,Goldcrest Capital
17065,Aethon Energy Management
7651,Shasta Ventures
19677,Old Line Capital Partners
15789,Susa Ventures
6744,Wilshire Associates
19684,North Base Media
13421,TT Capital Partners
1740,Hall Capital Partners
8314,Cross Creek
19687,Adams Investment Management
16699,Reverence Capital Partners
19688,Orangewood Partners
19694,Jobi Capital
18662,Steelhead Capital Management
7980,Vivo Capital
19702,Nebari Ventures
5588,Oaktree Capital Management
14412,CSL Capital Management
19707,Grit Ventures
17487,Next Coast Ventures
1780,RCP Advisors
