fm_id,id,name,vintageYear,regions,sectors,strategies,fundSize.amount,fundSize.currency,targetFundSize.amount,targetFundSize.currency
6381,6420,Ascent Venture Partners II,1995.0,North America,TMT,Venture Capital / Growth Equity,80000000.0,USD,0.0,USD
6381,8305,Ascent Venture Partners IV,2004.0,North America,TMT,Venture Capital / Growth Equity,140000000.0,USD,0.0,USD
6381,9222,Ascent Venture Partners V,2008.0,North America,TMT,Venture Capital / Growth Equity,81750000.0,USD,81750000.0,USD
6381,12856,Ascent Venture Partners III,1999.0,North America,TMT,Venture Capital / Growth Equity,115000000.0,USD,0.0,USD
6381,34846,Ascent Venture Partners VI,2015.0,North America,TMT,Venture Capital / Growth Equity,71050000.0,USD,150000000.0,USD
6381,34866,Ascent Venture Partners VII,2020.0,North America,TMT,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
15168,30467,Fall Line Farms Fund I,2013.0,North America,Agribusiness,Venture Capital / Growth Equity,127000000.0,USD,200000000.0,USD
15168,30467,Fall Line Farms Fund I,2013.0,North America,TMT,Venture Capital / Growth Equity,127000000.0,USD,200000000.0,USD
15168,36284,Fall Line Endurance Fund (Open-Ended),2019.0,North America,Agribusiness,Venture Capital / Growth Equity,285000000.0,USD,0.0,USD
15168,36284,Fall Line Endurance Fund (Open-Ended),2019.0,North America,TMT,Venture Capital / Growth Equity,285000000.0,USD,0.0,USD
15168,55753,Fall Line Impossible SPV,2019.0,North America,Agribusiness,Venture Capital / Growth Equity,13000000.0,USD,13000000.0,USD
15168,55753,Fall Line Impossible SPV,2019.0,North America,TMT,Venture Capital / Growth Equity,13000000.0,USD,13000000.0,USD
15168,58903,Fall Line Altitude Fund,2021.0,North America,Agribusiness,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
15168,58903,Fall Line Altitude Fund,2021.0,North America,TMT,Venture Capital / Growth Equity,0.0,USD,150000000.0,USD
1671,39481,Star Mountain U.S. LMM Fund II & Related Vehicles,2014.0,North America,Diversified,Mezzanine / Debt,411000000.0,USD,0.0,USD
1671,39769,Star Mountain U.S. LMM Secondary Fund II,2020.0,North America,Diversified,Secondaries,200000000.0,USD,500000000.0,USD
1671,46993,Star Mountain U.S. LMM Strategic Credit Fund III & Related Vehicles,2018.0,North America,Diversified,Mezzanine / Debt,834000000.0,USD,0.0,USD
1671,51366,Star Mountain Partners Fund II,2016.0,North America,Diversified,Mezzanine / Debt,16000000.0,USD,0.0,USD
1671,53043,Star Mountain SBIC Fund,2020.0,North America,Diversified,Mezzanine / Debt,291000000.0,USD,0.0,USD
1671,53044,Star Mountain Partners Fund III,2020.0,North America,Diversified,Mezzanine / Debt,35000000.0,USD,0.0,USD
1671,60003,Star Mountain U.S. LMM Strategic Credit Fund IV,2021.0,North America,Diversified,Mezzanine / Debt,300000000.0,USD,750000000.0,USD
1671,60244,Star Mountain Partners Fund I,2014.0,North America,Diversified,Mezzanine / Debt,14000000.0,USD,0.0,USD
1671,60245,Star Mountain U.S. LMM Private BDC,2021.0,North America,Diversified,Mezzanine / Debt,250000000.0,USD,0.0,USD
19136,43372,Waterfall Sentinel Fund I,2019.0,North America,Diversified,Buyout / Corporate Private Equity,80000000.0,USD,300000000.0,USD
19136,55669,SHARB Investors,2020.0,North America,Diversified,Buyout / Corporate Private Equity,15000000.0,USD,0.0,USD
19143,43446,Volunteer Park Capital,2019.0,Central/Eastern Europe,Diversified,Mezzanine / Debt,30000000.0,USD,200000000.0,USD
19143,43446,Volunteer Park Capital,2019.0,North America,Diversified,Mezzanine / Debt,30000000.0,USD,200000000.0,USD
19143,43446,Volunteer Park Capital,2019.0,Western Europe,Diversified,Mezzanine / Debt,30000000.0,USD,200000000.0,USD
11984,4061,Pemberton European Mid-Market Debt Fund I,2015.0,Central/Eastern Europe,Financial Services,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
11984,4061,Pemberton European Mid-Market Debt Fund I,2015.0,Central/Eastern Europe,Healthcare,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
11984,4061,Pemberton European Mid-Market Debt Fund I,2015.0,Central/Eastern Europe,Leisure,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
11984,4061,Pemberton European Mid-Market Debt Fund I,2015.0,Central/Eastern Europe,TMT,Mezzanine / Debt,1195000000.0,EUR,1000000000.0,EUR
