,type
0,Foundation / Endowment
3,Insurance Company
4,Private Pension Fund
6,Public Pension Fund
7,Public Pension Fund
9,Private Pension Fund
10,Foundation / Endowment
11,Foundation / Endowment
13,Foundation / Endowment
14,Insurance Company
15,Foundation / Endowment
16,Foundation / Endowment
17,Foundation / Endowment
18,Asset Manager
19,Foundation / Endowment
25,Public Pension Fund
26,Public Pension Fund
27,Public Pension Fund
28,Private Pension Fund
29,Insurance Company
30,Family Office
31,Bank / Financial Services
32,Private Pension Fund
34,Foundation / Endowment
36,Private Pension Fund
37,Family Office
38,Foundation / Endowment
39,Foundation / Endowment
42,Private Pension Fund
44,Public Pension Fund
45,Foundation / Endowment
46,Private Pension Fund
47,Foundation / Endowment
48,Foundation / Endowment
49,Foundation / Endowment
50,Foundation / Endowment
51,Foundation / Endowment
52,Public Pension Fund
53,Public Pension Fund
54,Public Pension Fund
56,Foundation / Endowment
58,Foundation / Endowment
59,Foundation / Endowment
61,Public Pension Fund
62,Foundation / Endowment
63,Foundation / Endowment
64,Public Pension Fund
65,Public Pension Fund
66,Public Pension Fund
67,Foundation / Endowment
68,Public Pension Fund
69,Public Pension Fund
71,Foundation / Endowment
72,Foundation / Endowment
73,Foundation / Endowment
74,Foundation / Endowment
75,Foundation / Endowment
76,Foundation / Endowment
77,Public Pension Fund
78,Public Pension Fund
79,Foundation / Endowment
80,Bank / Financial Services
81,Private Pension Fund
82,Foundation / Endowment
85,Public Pension Fund
86,Foundation / Endowment
88,Foundation / Endowment
89,Private Pension Fund
90,Public Pension Fund
91,Private Pension Fund
92,Foundation / Endowment
94,Public Pension Fund
95,Private Pension Fund
96,Private Pension Fund
97,Private Pension Fund
98,Corporate
99,Foundation / Endowment
100,Foundation / Endowment
101,Private Pension Fund
102,Foundation / Endowment
103,Foundation / Endowment
104,Private Pension Fund
105,Private Pension Fund
106,Private Pension Fund
107,Foundation / Endowment
108,Foundation / Endowment
109,Foundation / Endowment
110,Private Pension Fund
111,Foundation / Endowment
112,Private Pension Fund
113,Public Pension Fund
114,Private Pension Fund
116,Private Pension Fund
117,Investment Firm
118,Public Pension Fund
119,Foundation / Endowment
120,Private Pension Fund
121,Foundation / Endowment
123,Foundation / Endowment
124,Private Pension Fund
125,Foundation / Endowment
126,Foundation / Endowment
127,Foundation / Endowment
128,Foundation / Endowment
129,Foundation / Endowment
130,Private Pension Fund
131,Foundation / Endowment
132,Foundation / Endowment
133,Foundation / Endowment
134,Public Pension Fund
135,Foundation / Endowment
136,Foundation / Endowment
138,Foundation / Endowment
139,Foundation / Endowment
141,Corporate
142,Investment Firm
144,Foundation / Endowment
145,Public Pension Fund
146,Public Pension Fund
147,Public Pension Fund
148,Foundation / Endowment
149,Foundation / Endowment
150,Private Pension Fund
152,Private Pension Fund
153,Public Pension Fund
154,Public Pension Fund
155,Public Pension Fund
156,Foundation / Endowment
157,Private Pension Fund
159,Public Pension Fund
161,Foundation / Endowment
162,Foundation / Endowment
163,Foundation / Endowment
164,Foundation / Endowment
165,Foundation / Endowment
166,Foundation / Endowment
167,Foundation / Endowment
168,Foundation / Endowment
169,Public Pension Fund
170,Foundation / Endowment
171,Public Pension Fund
172,Bank / Financial Services
174,Private Pension Fund
175,Public Pension Fund
176,Foundation / Endowment
178,Insurance Company
179,Private Pension Fund
180,Foundation / Endowment
183,Public Pension Fund
184,Public Pension Fund
185,Public Pension Fund
186,Public Pension Fund
187,Foundation / Endowment
188,Public Pension Fund
189,Public Pension Fund
190,Foundation / Endowment
192,Public Pension Fund
193,Foundation / Endowment
194,Foundation / Endowment
195,Foundation / Endowment
196,Insurance Company
197,Foundation / Endowment
198,Foundation / Endowment
200,Government Related Investment Organisation
201,Foundation / Endowment
202,Foundation / Endowment
203,Public Pension Fund
204,Insurance Company
205,Government Related Investment Organisation
206,Private Pension Fund
207,Government Related Investment Organisation
209,Corporate
211,Foundation / Endowment
212,Insurance Company
213,Foundation / Endowment
214,Foundation / Endowment
216,Foundation / Endowment
217,Public Pension Fund
218,Family Office
219,Insurance Company
