lp_sector_id,lp_id,sector,has_appetite
22982,3,Biotech / Life Science,False
27114,3,Clean Tech / Renewable,False
2030,3,Consumer Goods,False
25874,3,Diversified,True
38533,3,Energy / Oil & Gas,False
24165,3,Financial Services,False
54780,3,Healthcare,True
25125,3,Industrials,False
40929,3,Leisure,False
35378,3,Manufacturing,False
41509,3,Natural Resources,False
45309,3,Other,False
45824,3,Retail,False
32881,3,TMT,True
10733,3,Transport,False
39667,4,Biotech / Life Science,True
17160,4,Clean Tech / Renewable,True
55862,4,Consumer Goods,True
7881,4,Diversified,True
49535,4,Energy / Oil & Gas,True
46042,4,Financial Services,True
28985,4,Healthcare,True
31087,4,Industrials,True
42040,4,Leisure,False
7221,4,Manufacturing,False
58420,4,Natural Resources,False
24106,4,Other,True
50759,4,Retail,True
23611,4,TMT,True
25637,4,Transport,True
50369,5,Biotech / Life Science,False
16878,5,Clean Tech / Renewable,True
58685,5,Consumer Goods,False
46239,5,Diversified,False
43834,5,Energy / Oil & Gas,False
59085,5,Financial Services,True
36231,5,Healthcare,True
59,5,Industrials,False
33724,5,Leisure,False
21579,5,Manufacturing,True
1217,5,Natural Resources,True
2335,5,Other,True
3066,5,Retail,True
43362,5,TMT,True
42134,5,Transport,True
32421,8,Biotech / Life Science,False
46804,8,Clean Tech / Renewable,False
11942,8,Consumer Goods,False
20329,8,Diversified,True
17799,8,Energy / Oil & Gas,False
21717,8,Financial Services,True
13895,8,Healthcare,False
29509,8,Industrials,True
38039,8,Leisure,False
53013,8,Manufacturing,False
37484,8,Natural Resources,False
13830,8,Other,False
15743,8,Retail,False
13097,8,TMT,False
19043,8,Transport,False
32889,9,Biotech / Life Science,False
48997,9,Clean Tech / Renewable,False
35348,9,Consumer Goods,True
18902,9,Diversified,True
62256,9,Energy / Oil & Gas,False
51739,9,Financial Services,False
48022,9,Healthcare,False
30100,9,Industrials,False
1853,9,Leisure,False
46623,9,Manufacturing,False
21279,9,Natural Resources,False
31889,9,Other,False
