strategy_id,lp_id,strategy,regions
39405,3,Fund of Funds / Co-Investment,North America
40456,3,Fund of Funds / Co-Investment,Asia-Pacific
42780,3,Fund of Funds / Co-Investment,Latin America
40361,3,Fund of Funds / Co-Investment,Western Europe
9061,4,Buyout / Corporate Private Equity,North America
12037,4,Buyout / Corporate Private Equity,Asia-Pacific
44959,4,Buyout / Corporate Private Equity,Central/Eastern Europe
1613,4,Buyout / Corporate Private Equity,Latin America
44577,4,Buyout / Corporate Private Equity,Middle East/Africa
45649,4,Buyout / Corporate Private Equity,Western Europe
16333,4,Distressed / Turnaround,North America
6699,4,Distressed / Turnaround,Asia-Pacific
24536,4,Distressed / Turnaround,Central/Eastern Europe
11983,4,Distressed / Turnaround,Latin America
12974,4,Distressed / Turnaround,Middle East/Africa
47135,4,Distressed / Turnaround,Western Europe
21169,4,Mezzanine / Debt,North America
29341,4,Mezzanine / Debt,Asia-Pacific
37568,4,Mezzanine / Debt,Central/Eastern Europe
34020,4,Mezzanine / Debt,Latin America
44154,4,Mezzanine / Debt,Middle East/Africa
43222,4,Mezzanine / Debt,Western Europe
30432,4,Venture Capital / Growth Equity,North America
35792,4,Venture Capital / Growth Equity,Asia-Pacific
12998,4,Venture Capital / Growth Equity,Central/Eastern Europe
13338,4,Venture Capital / Growth Equity,Latin America
8238,4,Venture Capital / Growth Equity,Middle East/Africa
12757,4,Venture Capital / Growth Equity,Western Europe
31270,5,Buyout / Corporate Private Equity,North America
41291,5,Buyout / Corporate Private Equity,Asia-Pacific
31236,5,Buyout / Corporate Private Equity,Latin America
6469,5,Buyout / Corporate Private Equity,Middle East/Africa
31540,5,Buyout / Corporate Private Equity,Western Europe
40562,5,Distressed / Turnaround,North America
24472,5,Distressed / Turnaround,Asia-Pacific
15192,5,Distressed / Turnaround,Central/Eastern Europe
221,5,Distressed / Turnaround,Latin America
31236,5,Distressed / Turnaround,Middle East/Africa
4610,5,Distressed / Turnaround,Western Europe
47582,5,Mezzanine / Debt,North America
38833,5,Mezzanine / Debt,Asia-Pacific
1915,5,Mezzanine / Debt,Central/Eastern Europe
