,lp_id,type_id
0,3,5
1,4,25
2,5,12
3,8,8
4,9,26
5,10,8
6,14,12
7,15,12
8,16,23
9,18,26
10,19,5
11,20,5
12,23,12
13,24,5
14,25,8
15,26,5
16,27,5
17,28,5
18,30,1
19,31,5
20,32,12
21,33,12
22,34,12
23,35,12
24,37,12
25,38,12
26,40,12
27,41,12
28,42,26
29,45,8
30,48,4
31,50,25
32,54,26
33,55,3
34,59,5
35,60,1
36,62,26
37,64,4
38,65,5
39,66,5
40,67,26
41,68,1
42,71,26
43,72,12
44,73,12
45,74,5
46,75,26
47,76,5
48,78,5
49,81,5
50,82,5
51,83,5
52,84,12
53,85,12
54,86,12
55,87,12
56,89,5
57,90,17
58,91,5
59,92,5
60,93,12
61,94,12
62,95,5
63,96,5
64,97,12
65,98,12
66,99,12
67,100,5
68,101,12
69,107,12
70,110,12
71,111,5
72,112,5
73,113,5
74,114,5
75,115,5
76,116,5
77,117,12
78,118,12
79,119,5
80,121,25
81,122,26
82,124,5
83,127,8
84,128,26
85,129,12
86,130,5
87,131,3
88,132,5
89,133,26
90,135,12
91,136,26
92,137,5
93,139,26
94,143,12
95,145,26
96,146,26
97,147,26
98,148,3
99,150,5
100,152,5
101,153,26
102,154,5
103,155,5
104,157,26
105,158,26
106,160,26
107,161,5
108,162,5
109,164,5
110,165,26
111,166,5
112,167,26
113,168,12
114,170,26
115,172,12
116,174,26
117,175,9
118,177,12
119,178,5
120,179,26
121,180,5
122,182,26
123,184,5
124,186,26
125,188,5
126,189,5
127,190,5
128,191,5
129,193,5
130,194,26
131,196,5
132,198,5
133,199,5
134,201,12
135,202,5
136,203,5
137,205,8
138,206,5
139,207,5
140,208,12
141,209,3
142,210,9
143,212,26
144,213,5
145,215,12
146,216,12
147,217,12
148,218,5
149,219,5
150,220,26
151,221,12
152,223,26
153,224,12
154,226,12
155,227,12
156,229,5
157,232,26
158,233,9
159,234,12
160,236,3
161,237,5
162,238,5
163,239,5
164,240,5
165,241,5
166,243,5
167,244,5
168,245,5
169,249,12
170,250,5
171,251,12
172,253,25
173,255,26
174,257,26
175,258,12
176,262,5
177,263,12
178,265,8
179,266,26
180,267,5
181,268,12
182,270,12
183,271,12
184,272,12
185,273,12
186,274,12
187,275,5
188,276,12
189,282,12
190,283,5
191,284,3
192,285,12
193,286,5
194,287,5
195,288,5
196,289,8
197,290,5
198,291,5
199,293,26
200,294,23
201,295,5
202,296,5
203,297,12
204,300,8
205,302,23
206,303,26
207,304,23
208,305,12
209,306,3
210,307,17
211,309,5
212,311,8
213,314,5
214,315,5
215,316,25
216,318,5
217,320,12
218,321,4
219,322,8
220,323,26
221,324,12
222,325,12
223,327,27
224,328,26
225,329,12
226,330,5
227,331,1
228,336,12
229,337,26
230,338,5
231,340,26
232,341,8
233,343,9
234,344,12
235,347,12
236,349,12
237,350,12
238,351,23
239,352,12
240,354,9
241,355,12
242,356,3
243,357,12
244,359,12
245,362,23
246,364,8
247,366,26
248,368,26
249,369,8
250,370,3
251,371,12
252,372,12
253,373,5
254,374,1
255,375,9
256,377,3
257,379,5
258,381,12
259,383,12
260,384,1
261,386,5
262,387,12
263,388,5
264,389,8
265,390,5
266,392,26
267,394,12
268,396,12
269,397,26
270,399,3
271,401,5
272,403,12
273,404,5
274,405,5
275,408,5
276,409,5
277,410,5
278,414,26
279,415,12
280,416,12
281,417,12
282,418,12
283,420,12
284,422,26
285,423,1
286,426,26
287,427,1
288,428,4
289,429,8
290,432,12
291,433,12
292,434,12
293,436,23
294,437,5
295,441,12
296,443,26
297,445,25
298,449,26
299,450,5
300,451,8
301,452,12
302,453,12
303,454,12
304,455,12
305,456,12
306,457,25
307,458,8
308,460,12
309,461,5
310,463,5
311,465,26
312,466,12
313,467,12
314,469,26
315,470,12
316,471,12
317,472,26
318,474,12
319,475,5
320,476,5
321,477,8
322,478,5
323,480,5
324,481,5
325,482,5
326,483,26
327,484,26
328,486,3
329,487,26
330,489,5
331,490,5
332,492,12
333,495,5
334,497,26
335,498,8
336,499,26
337,500,12
338,502,12
339,504,26
340,506,26
341,507,5
342,508,5
343,509,5
344,510,5
345,511,5
346,512,5
347,513,5
348,514,5
349,515,5
350,516,5
351,517,5
352,518,5
353,519,5
354,520,5
355,521,5
356,522,5
357,523,5
358,524,5
359,525,5
360,526,8
361,527,26
362,528,12
363,530,5
364,531,5
365,532,5
366,533,5
367,535,26
368,536,12
369,537,5
370,538,26
371,539,5
372,540,5
373,541,5
374,542,12
375,543,17
376,544,5
377,545,5
378,546,8
379,548,5
380,549,12
381,550,12
382,552,12
383,553,12
384,554,4
385,556,5
386,559,12
387,560,5
388,561,4
389,562,25
390,563,5
391,564,12
392,566,12
393,567,26
394,568,5
395,569,26
396,572,1
397,573,17
398,578,12
399,581,12
400,584,12
401,586,12
402,587,12
403,588,12
404,589,12
405,591,12
406,592,12
407,593,12
408,594,26
409,596,23
410,597,12
411,598,26
412,599,12
413,600,12
414,603,23
415,604,12
416,607,12
417,609,12
418,610,12
419,611,12
420,612,5
421,617,5
422,619,12
