investor_id,investor_name
1,Spruce Investment Advisors
2,CAIS
3,South Africa Alpha Capital Management
4,Alpha Partners
5,TEXO Ventures
6,Caerus Investment Advisors
7,Emerald Development Managers
8,Fundamental Global Investors
9,Old Hill Partners
10,Strong Ventures
11,Tomales Bay Capital
12,Dynamo Ventures
13,Flohr Asset Management
14,JC Clark
15,Loft Growth Partners
16,MicroVest Capital Management
17,Perella Weinberg Partners (NAS: PWP)
18,Portfolia
19,Steele Creek Investment Management
20,3Sisters Sustainable Management
21,Accelerate Financial Technologies
22,Blue Elephant
23,Cross Shore Capital Management
24,Cultivation Capital
25,Deer Park Road
26,DoubleBlue Capital Management
27,Energea Global
28,FQS Capital Partners
29,Healthbox
30,lnnovius Capital
31,lnvictus
32,Lee Capital Management
33,LionTree Partners
34,Media Development Investment Fund
35,Multicoin Capital
36,Parallaxes Capital
37,Plutus21 Capital
38,Point Olema Capital Partners
39,STORY3 Capital Partners
40,TEDCO
41,Verdad
42,Winebrenner Capital Partners
43,Yorkville Advisors
44,1984 Ventures
45,Alpha Wealth Funds
46,Amity Ventures
47,ATHOS Private Wealth
48,Block.one
49,Blue Opal Capital
50,BVM Capital
51,Capital Factory
52,Chesapeake Capital
53,Chinus Asset Management
54,Clocktower Technology Ventures
55,Closed loop Partners
56,Credit Capital Investments
57,Eastlink Capital
58,Eastside Partners
59,EHP Funds
60,European Investment Management Services
61,Explorador Capital Management
62,Gatemore Capital Management
63,Global Frontier Investments
64,Goodwood
65,Helm Investment Partners
66,Inherent Group
67,International Capital Management Corporation
68,JCP Investment Management
69,Meson Capital Partners
70,Meyer Global Management
71,Millcreek Asset Management
72,NextGen Venture Partners
73,NuWave Investment Management
74,Ohana Real Estate Investors
75,Oppenheimer + Close
76,Ospraie Management
77,Phyto Partners
78,Poseidon Asset Management
79,Precursor Ventures
80,Preserver Partners
81,Resolute Ventures
82,Rexus Investment Fund
83,S28 Capital
84,Saturn Partners
85,Seamans Holdings
86,Sony Innovation Fund
87,Star Asia
88,Tabor Asset Management
89,Trilinc Global
90,Valence Life Sciences
91,Zephyr Management
92,4DX Ventures
93,Acrewood Holdings
94,Advantage Capital (Saint Louis)
95,AgFunder
96,AIG Global Real Estate
97,AlbumVC
98,Alder Capital
99,AlphaOne Capital Partners
100,Altira Group
101,Antler (Private Equity)
102,Aperture Venture Partners
103,Arctic Ventures
104,Augment Ventures
105,Authentic Ventures
106,Backstage Capital
107,Bay Capital Ventures
108,Bee Partners
109,Bioeconomy Capital
110,Bloomfield Capital
111,Bluestem Capital Company
112,Bonfire Ventures
113,BoostVC
114,Borealis Strategic Capital Partners
115,Bright Equities
116,Builders VC
117,Cadenza Capital
118,Caffeinated Capital
119,Carter-Haston
120,Castle Ridge Asset Management
121,Catapult VC
122,Chainlink Capital Management
123,Chicago Ventures
124,Cleo Capital
125,Coelius Capital
