investor_id,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments,primary_investor_type
1,,14,6,182.40,,,,,,,,,,,,,,98.35,70.93,43.5,6,,,,,,,,Corporation
2,,13,3,176.40,474.22,,,,,,,,,,,6.25,"Asset Management, Other Financial Services, Private Equity, Real Estate Services (B2C), Specialized Finance",57.4,31.03,6.25,3,,,,,,,,Lender/Debt Provider
3,,11,,114.90,256.29,,,,,,,,,,,,,,15.83,,,,,,,,,,Hedge fund
4,21,10,2,145.70,92.77,Later Stage VC,"1,041.00",141.00,Venture Capital,12,4,,,9,14,52.5,"Application Software, BPO/Outsource Services, Consulting Services (B2B), Database Software, Household Products",52.5,52.5,10,2,12,4,,,9,14,21,Venture Capital
5,19,9,,15.41,0.77,Later Stage VC,23.00,11.00,Venture Capital,3,,,,7,6,15.41,Healthcare,15.41,15.41,15.41,,2,,,,7,6,19,Venture Capital
6,,8,,204.43,,,,,,,,,,,,,,,,,,,,,,,,,Asset Manager
7,30,7,,75.00,,Later Stage VC,188.00,30.00,Venture Capital,21,10,,,21,2,,"Business Products and Services (B2B), Energy, Healthcare, Materials and Resources, Other Financial Services, Softwar",,750,,,21,8,2,,21,2,30,Venture Capital
8,3,6,2,127.81,20.94,Secondary Transaction,11.98,1.00,Private Equity,1,,,,2,,21.35,"Commercial Products, Other Financial Services",21.35,13.07,4.79,2,1,,,,2,,3,Hedge Fund
9,,6,,230.00,,,,,,,,,,,,,"Commercial Transportation, Other Commercial Services, Other Financial Services, Transportation",,,,,,,,,,,,Hedge Fund
10,159,6,3,50.70,36.96,Later Stage VC,,14.34,Venture Capital,71,39,20,12,100,33,42.17,Software,42.17,1.75,1.32,3,70,36,17,11,100,33,159,Venture Capital
11,6,6,4,125.70,304.96,Early Stage VC,600.00,102.00,Venture Capital,,4,4,,4,,8.23,Software,50,38.35,4.82,4,5,4,4,,4,,6,Venture Capital
12,69,5,2,18,16.95,Seed Round,29.6,5.6,Venture Captial,55,23,15,8,39,6,43.21,"Commercial Transportation, Distributors/Wholesale, Logistics",43.21,43.21,43.21,2,49,22,12,5,39,6,69,Venture Capital
13,2,5,1,5.49,40.17,Early Stage VC,19,7,Venture Capital,2,,,,,,2.5,Communications and Networking,2.5,4.05,2.5,,2,,,,,,2,Asset Manager
14,2,5,,124.86,109.10,Merger/Acquisition,375.75,375.75,Corporate,,,,,,,,Services (Non•Financial),,36.7,,,,,,,,,2,Hedge Fund
15,18,5,5,55.30,11.09,Early Stage VC,,,Venture Capital,7,4,,,11,,,"Consumer Non-Durables, Home Furnishings, Household Appliances, Luxury Goods, Other Consumer Products and Se",31.3,11.5,0.97,5,6,4,3,2,11,5,18,PE/Buyout
16,9,5,2,235.16,309.40,Later Stage VC,,15.00,Venture Capital,,,,,4,9,60,"Commercial Banks, Other Financial Services",60,79.5,48.5,2,,,,,4,9,9,Asset Manager
17,44,5,6,200.60,806.69,Merger/Acquisition,,,Corporate,7,,2,,6,24,1578.99,"Consumer Durables, Ocher Consumer Products and Services, Real Estate Services (B2C), Retail",1872.18,1578.99,157.5,6,7,3,2,,6,24,44,Investment Bank
18,74,5,7,24.00,13.92,Early Stage VC,189.20,37.00,Venture Capital,64,43,20,10,58,10,4.45,"Commercial Products, Consumer Products and Services (B2C), Energy, Financial Services, Healthcare Services, Other",5.12,3.14,0.5,7,63,39,17,7,58,10,74,Venture Capital
19,,5,3,50.00,42.59,,,,,,,,,,,50,,50,36.24,22.05,3,,,,,,,,Lender/Debt Provider
