investor_id,investor_name,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry_1,preferred_industry_2,primary_investor_type,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments
1,Spruce Investment Advisors,,14,6,182.40,,,,,,,,,,,,,,,Corporation,98.35,70.93,43.5,6,,,,,,,
2,CAIS,,13,3,176.40,474.22,,,,,,,,,,,6.25,Asset Management,Other Financial Services,Lender/Debt Provider,57.4,31.03,6.25,3,,,,,,,
3,South Africa Alpha Capital Management,,11,,114.90,256.29,,,,,,,,,,,,,,Hedge fund,,15.83,,,,,,,,,
4,Alpha Partners,21,10,2,145.70,92.77,Later Stage VC,"1,041.00",141.00,Venture Capital,12,4,,,9,14,52.5,Application Software,BPO/Outsource Services,Venture Capital,52.5,52.5,10,2,12,4,1,,9,14,21
5,TEXO Ventures,19,9,1,15.41,0.77,Later Stage VC,23.00,11.00,Venture Capital,3,,,,7,6,15.41,Healthcare,,Venture Capital,15.41,15.41,15.41,1,2,,,,7,6,19
6,Caerus Investment Advisors,,8,,204.43,,,,,,,,,,,,,,,Asset Manager,,,,,,,,,,,
7,Emerald Development Managers,30,7,,75.00,,Later Stage VC,188.00,30.00,Venture Capital,21,10,,,21,2,,Business Products and Services (B2B),Energy,Venture Capital,,750,,,21,8,2,,21,2,30
8,Fundamental Global Investors,3,6,2,127.81,20.94,Secondary Transaction,11.98,1.00,Private Equity,1,,,,2,1,21.35,Commercial Products,Other Financial Services,Hedge Fund,21.35,13.07,4.79,2,1,,,,2,1,3
9,Old Hill Partners,,6,,230.00,,,,,,,,,,,,,Commercial Transportation,Other Commercial Services,Hedge Fund,,,,,,,,,,,
10,Strong Ventures,159,6,3,50.70,36.96,Later Stage VC,,14.34,Venture Capital,71,39,20,12,100,33,42.17,Software,,Venture Capital,42.17,1.75,1.32,3,70,36,17,11,100,33,159
11,Tomales Bay Capital,6,6,4,125.70,304.96,Early Stage VC,600.00,102.00,Venture Capital,5,4,4,,4,,8.23,Software,,Venture Capital,50,38.35,4.82,4,5,4,4,,4,,6
12,Dynamo Ventures,69,5,2,18,16.95,Seed Round,29.6,5.6,Venture Capital,55,23,15,8,39,6,43.21,Commercial Transportation,Distributors/Wholesale,Venture Capital,43.21,43.21,43.21,2,49,22,12,5,39,6,69
13,Flohr Asset Management,2,5,1,5.49,40.17,Early Stage VC,19.00,7,Venture Capital,2,,,,1,,2.5,Communications and Networking,,Asset Manager,2.5,4.05,2.5,1,2,,,,1,,2
14,JC Clark,2,5,,124.86,109.10,Merger/Acquisition,375.75,375.75,Corporate,,,,,1,,,Services (Non-Financial),,Hedge Fund,,36.7,,,,,,,1,,2
15,Loft Growth Partners,18,5,5,55.30,11.09,Early Stage VC,,,Venture Capital,7,4,3,2,11,5,,Consumer Non-Durables,Home Furnishings,PE/Buyout,31.3,11.5,0.97,5,6,4,3,2,11,5,18
16,MicroVest Capital Management,9,5,2,235.16,309.40,Later Stage VC,,15.00,Venture Capital,,,,,4,9,60,Commercial Banks,Other Financial Services,Asset Manager,60,79.5,48.5,2,,,,,4,9,9
17,Perella Weinberg Partners (NAS: PWP),44,5,6,200.60,806.69,Merger/Acquisition,,,Corporate,7,,2,,6,24,1578.99,Consumer Durables,Other Consumer Products and Services,Investment Bank,1872.18,1578.99,157.5,6,7,3,2,,6,24,44
