investment_id,investor_name,limited_partnter_name,commitments
1,CAIS,McWane Salaried Pension Plan,1.0
2,Alpha Partners,RosePaul Ventures,
3,Emerald Development Managers,New York City Employees' Retirement System,1.0
4,Emerald Development Managers,New York City Fire Department Pension Fund,1.0
5,Emerald Development Managers,New York City Police Pension Fund,1.0
6,Emerald Development Managers,New York City Public Pension Funds,1.0
7,Emerald Development Managers,Teachers' Retirement System of the City of New York,1.0
8,Strong Ventures,Wavemaker Partners,1.0
9,Dynamo Ventures,Baker Street Foundation,
10,Loft Growth Partners,Oakhouse Partners,
11,MicroVest Capital Management,Calvert Impact Capital,
12,MicroVest Capital Management,Christian Super,1.0
13,MicroVest Capital Management,Cooperative For Assistance And Relief Everywhere,1.0
14,MicroVest Capital Management,Cordes Foundation,
15,MicroVest Capital Management,ImpactAssets,1.0
16,MicroVest Capital Management,International Finance Corporation,1.0
17,MicroVest Capital Management,JP Morgan Asset Management,1.0
18,MicroVest Capital Management,KL Felicitas Foundation,4.0
19,MicroVest Capital Management,Mennonite Economic Development Associates,1.0
20,MicroVest Capital Management,Propel Capital Network,2.0
21,MicroVest Capital Management,Prudential Financial (NYS: PRU),1.0
22,MicroVest Capital Management,Sarona Asset Management,1.0
23,MicroVest Capital Management,The Prudential Insurance Company of America,2.0
24,MicroVest Capital Management,Tosa Foundation,1.0
25,MicroVest Capital Management,Treehouse Investments,
26,Perella Weinberg Partners (NAS: PWP),ACE & Company,
27,Perella Weinberg Partners (NAS: PWP),Alkhor Investment,1.0
28,Perella Weinberg Partners (NAS: PWP),APG Strategic Real Estate Pool,1.0
29,Perella Weinberg Partners (NAS: PWP),Argo Investments,1.0
30,Perella Weinberg Partners (NAS: PWP),Boston Retirement System,1.0
31,Perella Weinberg Partners (NAS: PWP),CNA Retirement Plan,
32,Perella Weinberg Partners (NAS: PWP),District of Columbia Retirement Board,1.0
33,Perella Weinberg Partners (NAS: PWP),Dominion Energy Retiree Health and Welfare Plan,
34,Perella Weinberg Partners (NAS: PWP),Dominion Resources Defined Benefit Master Trust,
35,Perella Weinberg Partners (NAS: PWP),Dominion Transmission and Hope Union Retiree Health and Welfare Plan,
36,Perella Weinberg Partners (NAS: PWP),Dow Employees' Pension Plan,
37,Perella Weinberg Partners (NAS: PWP),Ford Motor Company Trust Fund Real Estate,1.0
38,Perella Weinberg Partners (NAS: PWP),Great American lnsurancance Company,
39,Perella Weinberg Partners (NAS: PWP),Great American Life lnsurance,
