lp_id,lp_name,cmmt_in_vc_funds,total_cmmt_in_vc_funds,limited_partner_type,AUM,affliated_funds_num,affliated_investors_num,commitments,total_cmmt,hq_location,hq_region
1,lmpactAssets,22.0,43.0,Foundation,"2,000.00",28.0,22.0,28.0,68,"Bethesda, MD",Maryland
2,John D. and Catherine T. MacArthur Foundation,17.0,123.0,Foundation,"8,000.77",22.0,15.0,22.0,514,"Chicago, IL",Illinois
3,Illinois State Treasurer,21.0,49.0,Government Agency,"52,000.00",21.0,14.0,21.0,78,"Springfield, IL",Illinois
4,New York State Common Retirement Fund,10.0,178.0,Public Pension Fund,"280,000.00",21.0,15.0,21.0,1024,"Albany, NY",New York
5,European Investment Fund,17.0,542.0,Fund of Funds,"3,019.79",20.0,16.0,21.0,1069,"Luxembourg, Luxembourg",Luxembourg
6,Invesco (NYS: IVZ),16.0,147.0,Wealth Management Firm,"200,000.00",19.0,13.0,20.0,297,"Atlanta, GA",Georgia
7,Employees' Retirement Plan of Duke University,15.0,184.0,Corporate Pension,"1,767.68",18.0,9.0,18.0,495,"Durham, NC",NorthCarolina
8,HarbourVest Partners,18.0,337.0,Fund of Funds,"92,000.00",18.0,14.0,22.0,1058,"Boston, MA",Massachusetts
9,Michigan Department of Treasury,9.0,144.0,Government Agency,"95,401.00",17.0,8.0,17.0,824,"Lansing, Ml",Michigan
10,Passport Foundation,17.0,46.0,Foundation,56.8,17.0,13.0,17.0,55,"Wilmington, DE",Delaware
11,New Mexico State Investment Council,15.0,79.0,Sovereign Wealth Fund,"36,356.57",16.0,14.0,16.0,395,"Santa Fe, NM",NewMexico
12,Pennsylvania State Employees' Retirement System,14.0,140.0,Public Pension Fund,"39,000.00",16.0,8.0,16.0,628,"Harrisburg, PA",Pennsylvania
13,SBC Master Pension Trust,9.0,243.0,Corporate Pension,"57,785.14",16.0,13.0,17.0,690,"Dallas, TX",Texas
14,Bank of America (NYS: BAC),13.0,67.0,Banking Institution,"2,500,000.00",15.0,12.0,15.0,151,"Charlotte, NC",NorthCarolina
15,Business Development Bank of Canada,14.0,43.0,Banking Institution,"4,123.37",15.0,13.0,15.0,52,"Montreal, Canada",Canada
